class,a,all,also,an,and,any,are,as,at,be,been,but,by,can,do,down,even,every,for,from,had,has,have,her,his,if,in,into,is,it,its,may,more,must,my,no,not,now,of,on,one,only,or,our,shall,should,so,some,such,than,that,the,their,then,there,things,this,to,up,upon,was,were,what,when,which,who,will,with,would,your
2,24.911,1.0168,0,3.0503,21.352,2.5419,4.5755,11.185,6.1007,19.319,2.5419,0,11.185,0.50839,0,0,0.50839,5.0839,10.168,5.5923,1.5252,3.5587,6.1007,0,1.5252,1.0168,21.352,0.50839,16.268,10.676,6.609,6.609,6.609,2.5419,0,2.5419,5.5923,0,54.398,6.1007,6.1007,0,11.185,3.0503,0.50839,0,0.50839,0.50839,1.5252,6.609,9.151,70.158,4.5755,0.50839,2.5419,0,7.6258,23.894,0.50839,0,0.50839,1.0168,1.5252,0,7.1174,1.0168,7.1174,2.5419,4.0671,0
1,21.691,0.44267,3.5414,0.88535,5.3121,18.592,3.0987,1.7707,8.8535,17.264,4.4267,3.0987,5.7548,1.328,0.44267,0,1.328,1.328,7.0828,4.8694,0.88535,4.8694,5.7548,0,0,15.494,1.7707,7.0828,31.43,0.88535,12.838,3.5414,5.3121,2.2134,0.44267,2.2134,9.7388,0,73.484,3.0987,2.2134,1.328,5.3121,0.88535,0.44267,2.2134,3.0987,0.88535,2.656,3.0987,15.936,110.23,6.1974,0.44267,2.2134,0,9.2961,36.742,0,4.8694,0.88535,1.328,1.7707,0.44267,6.6401,3.5414,10.181,10.181,4.4267,0
1,26.919,1.994,0.99701,1.994,6.9791,22.931,2.991,2.991,9.9701,23.928,1.994,1.994,1.994,0,0,0,0.99701,1.994,8.9731,2.991,2.991,1.994,4.985,0,0.99701,13.958,2.991,2.991,24.925,1.994,10.967,6.9791,0.99701,0,0,3.988,0,0,80.758,3.988,2.991,0.99701,11.964,0,0.99701,1.994,2.991,0,2.991,1.994,12.961,101.69,1.994,0,3.988,0,7.9761,34.895,0,2.991,0.99701,1.994,0,5.9821,10.967,0,0.99701,3.988,8.9731,0
1,13.849,2.8852,5.1933,0,6.9244,25.389,2.8852,10.387,11.541,20.773,2.8852,4.6163,5.1933,1.1541,0.57703,0,1.1541,2.8852,3.4622,5.7703,0,0.57703,6.3474,0,0,15.58,4.6163,1.7311,28.275,2.8852,13.272,5.7703,0.57703,4.6163,0,1.7311,6.9244,0,59.435,2.8852,1.1541,1.7311,7.5014,1.1541,0,3.4622,4.0392,1.7311,2.3081,3.4622,17.311,92.325,5.7703,0,3.4622,0.57703,7.5014,46.74,0.57703,7.5014,0,0,2.3081,0.57703,11.541,1.1541,3.4622,6.3474,2.8852,0
1,19.92,3.9841,5.9761,1.328,5.9761,19.92,5.3121,2.656,11.288,23.904,3.3201,5.9761,7.9681,0.66401,0.66401,0,0.66401,1.328,10.624,7.3041,3.9841,9.2961,0,0,3.9841,13.28,1.992,2.656,26.56,0,12.616,3.3201,1.328,0.66401,0,1.992,7.3041,0,57.105,1.992,4.6481,1.328,3.9841,0.66401,2.656,3.3201,3.9841,0.66401,1.992,3.9841,13.28,92.961,7.9681,0,0.66401,0,8.6321,49.801,0,1.328,7.3041,1.328,0.66401,0.66401,9.9602,8.6321,8.6321,5.3121,4.6481,0
2,18.465,4.3732,0.48591,4.3732,29.155,2.9155,2.4295,11.662,3.4014,11.662,3.8873,4.3732,11.176,1.4577,0.48591,0.97182,1.4577,0.48591,5.8309,8.2604,0.48591,2.4295,4.3732,11.662,0.48591,1.4577,27.697,3.4014,5.345,8.7464,1.4577,1.4577,1.4577,0.97182,0.48591,2.4295,8.2604,0.48591,62.196,4.8591,1.4577,2.9155,6.3168,0,0,1.4577,1.9436,0.48591,1.9436,3.4014,13.12,100.1,3.4014,0,2.4295,0,4.3732,47.619,0,0,9.2323,2.9155,1.4577,0,7.7745,0,0.48591,8.2604,1.4577,0
2,18.727,2.809,0.31211,5.3059,24.657,1.5605,1.8727,10.3,3.4332,13.733,9.9875,2.1848,11.236,1.2484,1.5605,1.5605,1.8727,0,3.1211,10.612,4.6816,5.618,5.618,2.809,4.0574,4.0574,19.351,4.3695,10.924,17.166,2.4969,2.1848,2.4969,0.93633,0.31211,2.1848,8.7391,0.93633,51.81,7.8027,1.8727,1.5605,2.809,0,0.31211,2.1848,1.8727,1.8727,2.4969,1.5605,17.79,103.31,2.4969,2.4969,1.8727,0,6.8664,39.638,0.31211,0.93633,7.4906,1.8727,3.1211,0,7.1785,0.31211,1.8727,8.1149,4.0574,0
3,17.526,1.0015,5.0075,0.50075,4.5068,19.029,3.5053,7.5113,18.027,20.03,2.003,4.006,13.02,0,0,0.50075,0.50075,0.50075,5.0075,6.5098,1.5023,1.0015,8.012,0,4.5068,13.52,1.0015,2.5038,32.549,2.5038,17.526,5.0075,3.0045,1.0015,0,4.006,9.0135,0,57.586,9.5143,3.5053,1.5023,4.5068,2.003,1.0015,2.003,0.50075,3.5053,1.0015,2.003,14.021,101.15,6.009,0.50075,0.50075,0,10.516,30.045,0,1.0015,0.50075,3.0045,1.0015,2.5038,12.519,3.0045,7.5113,6.009,3.0045,0
1,22.545,2.1818,5.0909,0.72727,4.3636,32.727,2.1818,1.8182,5.0909,17.818,2.5455,3.2727,6.9091,6.5455,0.72727,0,1.0909,1.8182,6.1818,4,0.36364,3.6364,6.1818,0,4,9.8182,2.1818,4.3636,25.091,2.5455,17.818,3.6364,2.5455,1.8182,0,3.6364,3.6364,0.36364,78.545,1.8182,4,2.1818,4.7273,0.36364,1.8182,2.1818,0.72727,0.36364,1.4545,4.3636,14.909,109.45,1.8182,0,3.2727,0.72727,10.909,33.818,0,4.3636,2.1818,1.0909,1.0909,1.0909,7.2727,1.8182,2.1818,6.9091,9.8182,0
1,27.644,4.4071,5.2083,0.40064,6.0096,28.045,1.6026,3.6058,8.4135,17.628,1.2019,3.2051,8.0128,2.0032,0.80128,0,1.2019,1.2019,7.2115,7.6122,0.40064,3.2051,6.0096,5.2083,0.40064,8.4135,2.4038,2.4038,26.442,1.6026,3.6058,3.6058,3.6058,0.80128,0,2.0032,8.0128,0.40064,71.314,2.0032,2.0032,2.0032,4.8077,14.022,1.2019,1.2019,2.0032,0.80128,2.4038,2.4038,10.016,74.519,4.4071,0.80128,3.2051,0.40064,9.6154,33.253,0,2.4038,0,0.80128,1.2019,1.6026,10.016,2.0032,6.8109,8.8141,20.032,0
